word,frequency,Lg10WF
wish,0.00024117268938019564,4.0789
almost,0.000198251955568392,3.9938
cause,0.00031802373150526675,4.199
afraid,0.00025404488696199244,4.1015
cut,0.00023568189259921046,4.0689
pay,0.00026116482124942375,4.1135
four,0.0002623715897727172,4.1155
stand,0.000232021361411887,4.0621
case,0.0002896847840165923,4.1585
important,0.00021293430593512895,4.0248
tried,0.00019165495430772115,3.9791
anybody,0.00023276553533458462,4.0635
different,0.00021492547399856314,4.0289
hours,0.00022041627077954833,4.0398
walk,0.0002214219112156262,4.0418
telling,0.0001956976288607542,3.9882
eat,0.00025836914083712727,4.1088
reason,0.00019827206837711356,3.9938
shut,0.0002706178413485558,4.1289
inside,0.00021671551397478176,4.0325
wife,0.0003579074312001152,4.2503
trouble,0.00022930613223447674,4.057
eyes,0.00022725462574487787,4.0531
also,0.00021174765022055706,4.0224
hate,0.00022011457864872498,4.0392
read,0.0002474277728926,4.09
behind,0.00019270082036124212,3.9815
started,0.00019239912823041877,3.9808
ahead,0.0002034410602185538,4.005
pick,0.0002035013986447185,4.0051
side,0.0002060959509697994,4.0106
person,0.00021836476428994947,4.0357
damn,0.000290831214113721,4.1602
half,0.00020426568537613768,4.0068
young,0.0002494390537647558,4.0935
brought,0.00017671113742760393,3.9438
sleep,0.00023381140138810562,4.0654
funny,0.00022379522264477,4.0464
die,0.0002678623865537024,4.1245
between,0.00017964760750095133,3.951
fun,0.00024155483274590522,4.0796
kid,0.0003479314780742227,4.238
though,0.00018662675212733178,3.9675
wanna,0.0005188300137812965,4.4116
front,0.00018622449595290063,3.9666
question,0.0002034611730272754,4.0051
heart,0.0002504648070095552,4.0953
seems,0.0001718639505257086,3.9318
number,0.00024714619357049823,4.0895
line,0.00021148618370717682,4.0219
school,0.0003416965073705399,4.2302
against,0.00020692057612738327,4.0124
anymore,0.00019302262530078706,3.9822
kids,0.00030885229072823655,4.1863
phone,0.00027667179677374457,4.1385
welcome,0.0001838310717150353,3.961
met,0.0001962607875049578,3.9894
shouldn,0.00016257183289634903,3.9076
high,0.00020002188273588907,3.9976
outside,0.00017439816442462483,3.9381
killed,0.0002975086666092781,4.1701
sometimes,0.00018360983081909817,3.9605
moment,0.00019185608239493673,3.9795
needs,0.00016488480589932816,3.9138
fact,0.00017701282955842731,3.9446
sounds,0.00016029908551081303,3.9015
drink,0.0002537633076398906,4.101
dad,0.0005203183616266918,4.4128
six,0.00020466794155056883,4.0076
answer,0.00018073369917191544,3.9536
feeling,0.00017250756040479843,3.9334
hour,0.00016647371778833118,3.9179
full,0.0001712002278378972,3.9301
along,0.0001876525053721312,3.9699
glad,0.0001757859482264123,3.9416
speak,0.0001919968720559876,3.9799
quite,0.0002078055397111318,4.0142
buy,0.00019738710479336502,3.9919
able,0.00016401995512430119,3.9115
death,0.00022226664918193162,4.0434
free,0.00018210137016498135,3.9569
stupid,0.00018916096602624802,3.9734
running,0.00016198856144342388,3.9061
story,0.00022647022620473712,4.0516
lose,0.00016858556270409473,3.9234
send,0.00018441434316796045,3.9624
trust,0.00018276509285279275,3.9585
shot,0.0002332884683613451,4.0645
hot,0.00019473221404211943,3.986
truth,0.00019712563827998478,3.9913
honey,0.00030822879365786823,4.1854
clear,0.0001762485428270081,3.9427
till,0.00017101921255940317,3.9296
lady,0.00022266890535636277,4.0442
water,0.00023085481850603667,4.0599
town,0.00025430635347537266,4.1019
bed,0.00019193653362982295,3.9797
living,0.0001605605520241933,3.9022
seem,0.00014342443899342631,3.8532
mom,0.0004414761514381865,4.3415
sound,0.0001470849701807498,3.8642
happens,0.00014070920981601608,3.8449
lives,0.00014328364933237543,3.8528
save,0.00016649383059705276,3.918
taken,0.00014221767047013287,3.8495
months,0.00016721789171102882,3.9199
serious,0.00015217351078730383,3.8789
touch,0.000151529900908214,3.8771
bet,0.0001762485428270081,3.9427
news,0.0001689274804523612,3.9243
office,0.00020915309789547616,4.017
leaving,0.00014503346369115094,3.8581
body,0.0002005649285713711,3.9988
dinner,0.00020788599094601802,4.0144
married,0.0002446320924803035,4.0851
fire,0.00022103976784991662,4.041
light,0.0001694504134791217,3.9256
perfect,0.0001627327353661215,3.9081
special,0.00015239475168324097,3.8796
hang,0.00015155001371693554,3.8771
luck,0.00015768442037701058,3.8944
lucky,0.00014714530860691447,3.8643
promise,0.0001570609233066423,3.8927
uh,0.0007357064302258507,4.5632
sick,0.0001696917671837804,3.9262
weren,0.00012544358799635396,3.795
asking,0.0001316584458913152,3.816
sense,0.0001351983002263093,3.8276
women,0.00020068560542370044,3.9991
order,0.00016060077764163642,3.9023
its,0.00017612786597467878,3.9424
fast,0.00014099078913811788,3.8458
brother,0.00029125358309687373,4.1608
game,0.0002398653568132944,4.0765
catch,0.00013899962107468368,3.8396
sent,0.00014155394778232148,3.8475
sort,0.00015253554134429185,3.88
himself,0.00014416861291612396,3.8555
boys,0.00022992962930484502,4.0582
alive,0.00015844870710842975,3.8965
known,0.00012671069494581206,3.7994
died,0.00016126450032944781,3.9041
party,0.00023914129569931834,4.0752
drive,0.00015708103611536384,3.8927
playing,0.0001511477575425044,3.876
doctor,0.0002707385182008851,4.1291
fight,0.00020625685343957187,4.011
kidding,0.00013720958109846506,3.834
figure,0.0001327043119448362,3.8195
pull,0.00015022256834131275,3.8733
throw,0.00013214115330063259,3.8176
cool,0.00020092695912835913,3.9996
calling,0.0001269319358417492,3.8002
unless,0.00011661406496759022,3.7634
looked,0.00012401557857712336,3.7901
hurry,0.00017811903403811298,3.9473
girls,0.0002137187054752697,4.0264
past,0.00012695204865047075,3.8002
hair,0.00015750340509851655,3.8939
takes,0.00012039527300724302,3.7772
except,0.00011456255847799136,3.7556
top,0.0001368676633501986,3.8329
food,0.00015840848149098664,3.8964
finally,0.0001204556114334077,3.7774
straight,0.00012558437765740484,3.7955
sweet,0.00014893534858313308,3.8696
wonder,0.00011999301683281188,3.7758
giving,0.00011289319535410208,3.7493
drop,0.00013397141889429431,3.8236
worked,0.00011820297685659326,3.7692
small,0.00012817892998248577,3.8044
plan,0.00014947839441861513,3.8712
somewhere,0.0001144016560082189,3.755
less,0.00011395917421634464,3.7534
blood,0.00019091078038502353,3.9774
none,0.00011345635399830569,3.7514
safe,0.00014688384209353422,3.8636
sign,0.00013670676088042613,3.8324
piece,0.0001276962225731684,3.8028
cold,0.0001335088242936985,3.8221
weeks,0.00013348871148497694,3.822
bye,0.0001847160352987838,3.9631
turned,0.00010836781339175166,3.7315
clean,0.00012435749632538985,3.7913
dear,0.00022918545538214738,4.0568
ah,0.00021188843988160795,4.0227
follow,0.0001263687771975456,3.7982
seeing,0.00011245071356222783,3.7476
mrs,0.0003189489207064584,4.2003
learn,0.00012162215433925803,3.7816
street,0.0001519924955088098,3.8784
works,0.00010774431632138337,3.729
explain,0.00011403962545123086,3.7537
ass,0.00023220237669038102,4.0624
ain,0.0004474697684372106,4.3473
husband,0.0001998207546486735,3.9972
wow,0.00016412051916790896,3.9117
possible,0.00011697609552457825,3.7647
police,0.00024223866824243817,4.0808
wonderful,0.00016822353214710669,3.9225
white,0.00017586639946129854,3.9418
lie,0.00012335185588931198,3.7877
felt,0.00012290937409743772,3.7862
meant,0.00010691969116379952,3.7257
step,0.00012172271838286582,3.782
air,0.00014259981383584248,3.8507
fall,0.00012156181591309335,3.7814
city,0.00017345286241471163,3.9358
moving,0.0001227685844363868,3.7857
scared,0.0001368274377327555,3.8328
words,0.00012516200867425213,3.7941
meeting,0.00013580168448795604,3.8295
expect,0.00010657777341553304,3.7243
rather,0.00011715711080307227,3.7654
worth,0.00011200823177035356,3.7459
country,0.00016601112318773536,3.9167
absolutely,0.00011603079351466505,3.7612
become,0.00011854489460485974,3.7705
early,0.00011082157605578166,3.7412
company,0.00015098685507273195,3.8755
longer,0.000101489232808979,3.703
children,0.00017960738188350822,3.9509
thinks,0.00010529055365735337,3.719
ten,0.0001487342204959175,3.869
handle,0.00011120371942149126,3.7427
shoot,0.00016918894696574144,3.925
control,0.00013399153170301587,3.8237
careful,0.00011162608840464396,3.7444
feet,0.00012383456329862936,3.7894
worse,0.00010060426922523048,3.6992
book,0.00018153821152077775,3.9555
poor,0.00013240261981401283,3.8185
forgot,0.00010146912000025744,3.7029
eye,0.00011466312252159915,3.756
busy,0.00010927288978422175,3.7351
beat,0.00013507762337397998,3.8272
black,0.00017226620670013975,3.9328
changed,0.00010354073929857786,3.7117
talked,0.00010510953837885934,3.7183
ones,0.00010412401075150304,3.7142
